`,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1
04/24/2022,9:51,,,40.85169,-73.95238,"(40.85169, -73.95238)",Unspecified,Unspecified,4521937,Sedan
04/24/2022,0:00,BRONX,10453,40.861862,-73.91275,"(40.861862, -73.91275)",Driver Inattention/Distraction,Unspecified,4521801,Sedan
3/08/2022,20:00,BROOKLYN,11207,40.666256,-73.900215,"(40.666256, -73.900215)",Unspecified,Unspecified,4522285,Sedan
04/24/2022,15:35,MANHATTAN,10019,40.767242,-73.986206,"(40.767242, -73.986206)",View Obstructed/Limited,Unspecified,4521853,Station Wagon/Sport Utility Vehicle
04/22/2022,12:00,BROOKLYN,11230,40.62417,-73.97048,"(40.62417, -73.97048)",Unspecified,Unspecified,4522228,Sedan
04/24/2022,13:10,,,40.679955,-73.97491,"(40.679955, -73.97491)",Turning Improperly,Unspecified,4521702,Station Wagon/Sport Utility Vehicle
04/24/2022,4:20,BROOKLYN,11221,40.692356,-73.94282,"(40.692356, -73.94282)",Traffic Control Disregarded,Unspecified,4522167,Station Wagon/Sport Utility Vehicle
04/20/2022,19:37,,,40.78291,-73.98578,"(40.78291, -73.98578)",Driver Inexperience,Unspecified,4522196,Sedan
04/24/2022,16:14,,,40.67308,-73.91124,"(40.67308, -73.91124)",Unspecified,Unspecified,4521758,Sedan
4/12/2022,19:56,BROOKLYN,11203,40.65011,-73.930214,"(40.65011, -73.930214)",Failure to Yield Right-of-Way,,4522136,Station Wagon/Sport Utility Vehicle
04/24/2022,0:30,,,40.638382,-74.03668,"(40.638382, -74.03668)",Driver Inattention/Distraction,Unspecified,4521469,Sedan
04/24/2022,20:13,QUEENS,11419,40.69261,-73.81143,"(40.69261, -73.81143)",Aggressive Driving/Road Rage,,4521859,Sedan
04/24/2022,15:21,QUEENS,11101,40.745235,-73.937706,"(40.745235, -73.937706)",Driver Inattention/Distraction,Driver Inattention/Distraction,4521590,Sedan
04/24/2022,10:27,,,,,,Traffic Control Disregarded,Traffic Control Disregarded,4521902,Sedan
04/24/2022,21:00,QUEENS,11106,40.758705,-73.93793,"(40.758705, -73.93793)",Driver Inattention/Distraction,Unspecified,4521684,Sedan
04/24/2022,21:40,QUEENS,11418,40.695156,-73.845406,"(40.695156, -73.845406)",Reaction to Uninvolved Vehicle,Unspecified,4521858,Ambulance
4/07/2022,14:14,MANHATTAN,10017,40.748158,-73.97033,"(40.748158, -73.97033)",Driver Inattention/Distraction,Passing or Lane Usage Improper,4522242,Sedan
06/29/2021,17:35,,,40.609535,-73.75372,"(40.609535, -73.75372)",Passing or Lane Usage Improper,Unspecified,4456672,Station Wagon/Sport Utility Vehicle
