`,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1
03/26/2022,11:20,,,40.624763,-73.96518,"(40.624763, -73.96518)",Alcohol Involvement,Driver Inattention/Distraction,4513691,Sedan
03/26/2022,18:17,QUEENS,11422,40.678417,-73.729225,"(40.678417, -73.729225)",Passing or Lane Usage Improper,Unspecified,4513782,Sedan
03/14/2022,10:30,QUEENS,11433,40.692596,-73.79078,"(40.692596, -73.79078)",Unspecified,,4514390,Station Wagon/Sport Utility Vehicle
03/26/2022,1:30,,,40.734486,-73.891754,"(40.734486, -73.891754)",Driver Inattention/Distraction,Unspecified,4514215,Pick-up Truck
03/26/2022,3:23,BRONX,10475,40.88399,-73.82641,"(40.88399, -73.82641)",Following Too Closely,Unspecified,4513994,Box Truck
03/26/2022,1:45,BROOKLYN,11238,40.683872,-73.95998,"(40.683872, -73.95998)",Driver Inattention/Distraction,Unspecified,4513503,Taxi
3/05/2022,14:52,MANHATTAN,10035,40.799484,-73.92929,"(40.799484, -73.92929)",Unspecified,,4514151,Sedan
03/26/2022,20:27,,,40.70839,-74.00482,"(40.70839, -74.00482)",Passing or Lane Usage Improper,Unspecified,4513655,Sedan
03/26/2022,18:19,MANHATTAN,10019,40.766502,-73.99418,"(40.766502, -73.99418)",Unspecified,,4514070,Sedan
03/26/2022,23:00,QUEENS,11420,40.676304,-73.816284,"(40.676304, -73.816284)",Alcohol Involvement,Unspecified,4513952,Station Wagon/Sport Utility Vehicle
03/26/2022,18:00,BROOKLYN,11207,40.66447,-73.89593,"(40.66447, -73.89593)",Unsafe Speed,Unspecified,4513827,Sedan
03/23/2022,20:40,,,40.709835,-74.014885,"(40.709835, -74.014885)",Unsafe Speed,,4514285,Station Wagon/Sport Utility Vehicle
04/24/2022,11:45,,,40.585342,-73.94157,"(40.585342, -73.94157)",Driver Inattention/Distraction,Unspecified,4521782,Sedan
9/11/2021,12:01,MANHATTAN,10016,40.746395,-73.9856,"(40.746395, -73.9856)",Passing or Lane Usage Improper,Unspecified,4457012,Station Wagon/Sport Utility Vehicle
9/10/2021,11:00,BROOKLYN,11230,40.617004,-73.96912,"(40.617004, -73.96912)",Unspecified,Unspecified,4457022,Station Wagon/Sport Utility Vehicle
9/11/2021,20:15,MANHATTAN,10013,40.718662,-74.00615,"(40.718662, -74.00615)",Unspecified,,4456987,Station Wagon/Sport Utility Vehicle
9/09/2021,8:15,BROOKLYN,11238,40.680664,-73.97028,"(40.680664, -73.97028)",Backing Unsafely,,4456970,
12/10/2021,23:07,BROOKLYN,11233,40.67392,-73.91012,"(40.67392, -73.91012)",Unspecified,Unspecified,4485574,Sedan
12/10/2021,21:50,,,40.806835,-73.924355,"(40.806835, -73.924355)",Other Vehicular,,4485894,Station Wagon/Sport Utility Vehicle
11/27/2021,5:40,BROOKLYN,11234,40.627735,-73.920105,"(40.627735, -73.920105)",Unspecified,Unspecified,4485637,Sedan
12/09/2021,5:15,,,0,0,"(0.0, 0.0)",Traffic Control Disregarded,Traffic Control Disregarded,4484930,Sedan
12/08/2021,12:58,BROOKLYN,11225,40.661263,-73.955765,"(40.661263, -73.955765)",Unspecified,,4484996,Convertible
12/08/2021,17:50,,,40.844883,-73.907295,"(40.844883, -73.907295)",Following Too Closely,Unspecified,4484861,Tractor Truck Diesel
12/10/2021,4:30,QUEENS,11369,40.76104,-73.88162,"(40.76104, -73.88162)",Driver Inattention/Distraction,Unspecified,4485177,Sedan
12/10/2021,21:22,,,40.669777,-73.9583,"(40.669777, -73.9583)",Failure to Yield Right-of-Way,,4485316,Station Wagon/Sport Utility Vehicle
12/10/2021,8:30,BRONX,10457,40.839443,-73.90436,"(40.839443, -73.90436)",Unsafe Lane Changing,Unspecified,4485668,Ambulance
12/10/2021,12:15,QUEENS,11101,40.75245,-73.94507,"(40.75245, -73.94507)",Driver Inattention/Distraction,Unspecified,4485385,Station Wagon/Sport Utility Vehicle
12/08/2021,14:38,BROOKLYN,11217,40.687748,-73.980125,"(40.687748, -73.980125)",Passing Too Closely,Unspecified,4484892,Station Wagon/Sport Utility Vehicle
12/03/2021,13:40,,,40.87356,-73.81853,"(40.87356, -73.81853)",Unspecified,Unspecified,4485246,Station Wagon/Sport Utility Vehicle
12/10/2021,8:50,BRONX,10455,40.8176,-73.90373,"(40.8176, -73.90373)",Other Vehicular,Other Vehicular,4485893,Station Wagon/Sport Utility Vehicle
12/09/2021,19:45,BROOKLYN,11236,40.638428,-73.91275,"(40.638428, -73.91275)",Unspecified,,4485586,Sedan
12/10/2021,16:07,MANHATTAN,10027,40.813885,-73.95211,"(40.813885, -73.95211)",Unspecified,Unspecified,4485696,Sedan
12/08/2021,6:37,,,,,,Following Too Closely,Unspecified,4485123,Sedan
12/10/2021,21:20,MANHATTAN,10028,40.77733,-73.95456,"(40.77733, -73.95456)",Unsafe Speed,Unspecified,4485914,Station Wagon/Sport Utility Vehicle
12/10/2021,23:16,,,40.713135,-74.00407,"(40.713135, -74.00407)",Failure to Yield Right-of-Way,Unspecified,4485304,Station Wagon/Sport Utility Vehicle
12/09/2021,17:21,,,40.775486,-73.98217,"(40.775486, -73.98217)",Driver Inattention/Distraction,Unspecified,4485055,Taxi
12/09/2021,7:30,BROOKLYN,11223,40.591137,-73.97752,"(40.591137, -73.97752)",Unspecified,,4485539,Sedan
11/24/2021,23:58,,,40.865536,-73.92728,"(40.865536, -73.92728)",Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,4485241,
12/09/2021,17:00,MANHATTAN,10019,40.76551,-73.97795,"(40.76551, -73.97795)",Following Too Closely,Unspecified,4485153,Taxi
12/08/2021,8:15,BROOKLYN,11230,40.63311,-73.97217,"(40.63311, -73.97217)",Unspecified,Unspecified,4484897,Station Wagon/Sport Utility Vehicle
9/11/2021,2:20,,,40.823772,-73.87245,"(40.823772, -73.87245)",Alcohol Involvement,Unspecified,4456035,Pick-up Truck
7/09/2021,12:00,,,40.84497,-73.90247,"(40.84497, -73.90247)",Passing Too Closely,Unspecified,4456704,Station Wagon/Sport Utility Vehicle
9/11/2021,15:25,,,,,,Unspecified,Unspecified,4456122,Sedan
9/10/2021,14:50,,,40.675507,-74.00075,"(40.675507, -74.00075)",Unspecified,,4456919,Box Truck
7/01/2021,17:45,QUEENS,11691,40.609535,-73.75372,"(40.609535, -73.75372)",Passing or Lane Usage Improper,Unspecified,4456686,Station Wagon/Sport Utility Vehicle
7/07/2021,13:45,MANHATTAN,10014,40.730446,-74.00431,"(40.730446, -74.00431)",Driver Inexperience,,4456588,Station Wagon/Sport Utility Vehicle
9/11/2021,12:00,QUEENS,11432,40.721645,-73.8026,"(40.721645, -73.8026)",Unspecified,,4456879,Station Wagon/Sport Utility Vehicle
7/07/2021,17:30,,,40.853477,-73.82622,"(40.853477, -73.82622)",Unspecified,Unspecified,4456573,Station Wagon/Sport Utility Vehicle
9/11/2021,2:55,QUEENS,11420,40.66901,-73.80265,"(40.66901, -73.80265)",Alcohol Involvement,Unspecified,4455749,Sedan
9/11/2021,17:15,STATEN ISLAND,10310,40.629475,-74.1123,"(40.629475, -74.1123)",Unspecified,,4456087,Sedan
9/03/2021,17:14,BROOKLYN,11231,40.6843,-73.99724,"(40.6843, -73.99724)",Passing Too Closely,Unspecified,4456941,Station Wagon/Sport Utility Vehicle
7/08/2021,12:30,,,40.767612,-73.950005,"(40.767612, -73.950005)",Following Too Closely,Unspecified,4456691,Taxi
08/23/2021,11:50,,,40.80066,-73.9544,"(40.80066, -73.9544)",Driver Inattention/Distraction,,4456765,Station Wagon/Sport Utility Vehicle
9/11/2021,21:34,BRONX,10469,40.87645,-73.848175,"(40.87645, -73.848175)",Turning Improperly,Unspecified,4456435,Sedan
9/11/2021,11:30,QUEENS,11373,40.737865,-73.876144,"(40.737865, -73.876144)",Passing or Lane Usage Improper,Unspecified,4456181,Sedan
9/06/2021,10:34,,,40.764103,-73.93277,"(40.764103, -73.93277)",Reaction to Uninvolved Vehicle,Unspecified,4456550,Sedan
7/08/2021,15:56,,,40.66735,-73.76994,"(40.66735, -73.76994)",Other Vehicular,Following Too Closely,4456615,Sedan
7/07/2021,23:06,,,40.824265,-73.95642,"(40.824265, -73.95642)",Passing Too Closely,Unspecified,4456647,Sedan
9/11/2021,6:51,,,40.702045,-73.9156,"(40.702045, -73.9156)",Backing Unsafely,Unspecified,4455820,Sedan
9/07/2021,12:30,,,40.85306,-73.931,"(40.85306, -73.931)",Driver Inattention/Distraction,,4456845,Sedan
9/11/2021,4:10,MANHATTAN,10033,0,0,"(0.0, 0.0)",Unspecified,,4456191,Station Wagon/Sport Utility Vehicle
7/08/2021,9:25,,,40.697315,-73.932274,"(40.697315, -73.932274)",Turning Improperly,Unspecified,4456586,Station Wagon/Sport Utility Vehicle
9/11/2021,6:40,,,40.679344,-73.859535,"(40.679344, -73.859535)",Passing Too Closely,Unspecified,4456718,Sedan
9/11/2021,17:35,QUEENS,11435,40.708923,-73.81877,"(40.708923, -73.81877)",Unspecified,Unspecified,4456821,Sedan
7/08/2021,17:17,STATEN ISLAND,10304,40.60203,-74.09572,"(40.60203, -74.09572)",Lost Consciousness,Unspecified,4456608,Sedan
9/10/2021,3:00,,,40.693787,-73.81173,"(40.693787, -73.81173)",Unsafe Speed,Unspecified,4456531,Station Wagon/Sport Utility Vehicle
9/11/2021,5:59,BRONX,10459,40.826767,-73.888855,"(40.826767, -73.888855)",Unspecified,Unspecified,4455832,Station Wagon/Sport Utility Vehicle
9/09/2021,11:39,STATEN ISLAND,10306,40.56692,-74.116234,"(40.56692, -74.116234)",Passing or Lane Usage Improper,Unspecified,4456735,Sedan
04/13/2021,17:30,QUEENS,11106,,,,Driver Inattention/Distraction,Unspecified,4408019,Sedan
9/11/2021,17:40,BROOKLYN,11228,40.623913,-74.00726,"(40.623913, -74.00726)",Driver Inattention/Distraction,Unspecified,4456734,Sedan
9/11/2021,22:15,,,40.592422,-73.99508,"(40.592422, -73.99508)",Following Too Closely,Unspecified,4455983,Sedan
9/11/2021,7:15,BROOKLYN,11207,40.6783,-73.88988,"(40.6783, -73.88988)",Unspecified,,4456323,Sedan
9/10/2021,17:00,QUEENS,11372,40.748962,-73.89176,"(40.748962, -73.89176)",Driver Inattention/Distraction,Unspecified,4456889,Sedan
7/08/2021,11:33,BROOKLYN,11236,40.631508,-73.90506,"(40.631508, -73.90506)",Driver Inexperience,Unspecified,4456679,Sedan
9/11/2021,21:48,,,40.677322,-73.790955,"(40.677322, -73.790955)",Alcohol Involvement,Unspecified,4456373,Station Wagon/Sport Utility Vehicle
03/26/2022,10:30,,,40.57666,-73.965836,"(40.57666, -73.965836)",Following Too Closely,Unspecified,4513885,Station Wagon/Sport Utility Vehicle
9/11/2021,19:00,,,40.804585,-73.94782,"(40.804585, -73.94782)",Traffic Control Disregarded,Unspecified,4456758,Taxi
9/11/2021,22:23,BRONX,10452,40.832916,-73.92939,"(40.832916, -73.92939)",Following Too Closely,Unspecified,4456498,Station Wagon/Sport Utility Vehicle
9/11/2021,15:00,QUEENS,11428,40.722515,-73.73332,"(40.722515, -73.73332)",Unspecified,,4455941,Sedan
9/10/2021,10:20,QUEENS,11419,40.692127,-73.83484,"(40.692127, -73.83484)",Failure to Yield Right-of-Way,Unsafe Speed,4456778,Sedan
9/11/2021,0:00,BRONX,10474,40.807537,-73.8798,"(40.807537, -73.8798)",Traffic Control Disregarded,Unspecified,4455883,Station Wagon/Sport Utility Vehicle
7/06/2021,15:01,BRONX,10467,40.878128,-73.86944,"(40.878128, -73.86944)",Other Vehicular,,4456627,Station Wagon/Sport Utility Vehicle
7/09/2021,4:00,,,40.75777,-73.854164,"(40.75777, -73.854164)",Driver Inattention/Distraction,Unspecified,4456640,Sedan
9/10/2021,8:45,BROOKLYN,11212,40.6569,-73.907486,"(40.6569, -73.907486)",Unspecified,Unspecified,4456812,Sedan
9/11/2021,11:51,,,40.845024,-73.92632,"(40.845024, -73.92632)",Driver Inattention/Distraction,Unspecified,4455924,Station Wagon/Sport Utility Vehicle
9/11/2021,18:50,BRONX,10459,40.817795,-73.89319,"(40.817795, -73.89319)",Unspecified,Unspecified,4455894,Station Wagon/Sport Utility Vehicle
7/02/2021,7:10,,,40.81915,-73.93062,"(40.81915, -73.93062)",Driver Inexperience,Unspecified,4456596,Station Wagon/Sport Utility Vehicle
9/06/2021,13:26,STATEN ISLAND,10314,40.591778,-74.12734,"(40.591778, -74.12734)",Backing Unsafely,Unspecified,4456742,Sedan
9/11/2021,5:30,QUEENS,11101,40.753994,-73.94244,"(40.753994, -73.94244)",Following Too Closely,Unspecified,4455969,Station Wagon/Sport Utility Vehicle
9/11/2021,12:55,MANHATTAN,10012,40.724846,-73.999,"(40.724846, -73.999)",Passing or Lane Usage Improper,Other Vehicular,4455841,Station Wagon/Sport Utility Vehicle
9/11/2021,14:00,,,,,,Following Too Closely,Unspecified,4456497,Station Wagon/Sport Utility Vehicle
7/09/2021,12:30,,,40.822933,-73.93813,"(40.822933, -73.93813)",Other Vehicular,Other Vehicular,4456711,Box Truck
9/11/2021,13:00,,,40.680477,-73.951164,"(40.680477, -73.951164)",Driver Inattention/Distraction,Driver Inattention/Distraction,4456154,Sedan
9/11/2021,15:00,BROOKLYN,11203,40.648243,-73.929,"(40.648243, -73.929)",Backing Unsafely,Unspecified,4456204,Sedan
7/08/2021,15:30,BROOKLYN,11236,40.64366,-73.90067,"(40.64366, -73.90067)",Driver Inattention/Distraction,,4456683,Sedan
7/09/2021,11:15,,,40.6843,-73.94121,"(40.6843, -73.94121)",Passing Too Closely,Unspecified,4456696,Station Wagon/Sport Utility Vehicle
9/02/2021,10:45,,,40.602425,-74.091354,"(40.602425, -74.091354)",Lost Consciousness,Unspecified,4456521,Sedan
9/07/2021,17:35,BROOKLYN,11225,40.662037,-73.95077,"(40.662037, -73.95077)",Driver Inattention/Distraction,Driver Inattention/Distraction,4456865,Flat Bed
9/11/2021,19:08,BROOKLYN,11217,40.68164,-73.98568,"(40.68164, -73.98568)",Following Too Closely,Unspecified,4456389,Taxi
9/11/2021,10:25,MANHATTAN,10128,40.781315,-73.94614,"(40.781315, -73.94614)",Backing Unsafely,,4456512,Station Wagon/Sport Utility Vehicle
9/11/2021,14:00,,,40.74498,-73.89325,"(40.74498, -73.89325)",Unspecified,,4455860,Station Wagon/Sport Utility Vehicle
08/29/2021,0:12,,,40.6117,-74.13918,"(40.6117, -74.13918)",Driver Inattention/Distraction,Unspecified,4456782,Motorcycle
9/11/2021,23:48,BROOKLYN,11234,40.616295,-73.92991,"(40.616295, -73.92991)",Unsafe Speed,Passing or Lane Usage Improper,4455949,Station Wagon/Sport Utility Vehicle
9/11/2021,1:45,QUEENS,11356,40.78322,-73.84586,"(40.78322, -73.84586)",Failure to Yield Right-of-Way,Unspecified,4456097,Station Wagon/Sport Utility Vehicle
7/08/2021,17:13,BRONX,10469,40.87122,-73.83709,"(40.87122, -73.83709)",Driver Inattention/Distraction,Unspecified,4456623,Sedan
9/09/2021,11:39,QUEENS,11416,40.680077,-73.852684,"(40.680077, -73.852684)",Failure to Yield Right-of-Way,Unspecified,4456775,Sedan
7/06/2021,19:00,BRONX,10457,40.843384,-73.88987,"(40.843384, -73.88987)",Driver Inattention/Distraction,Unspecified,4456664,Sedan
9/11/2021,17:19,,,40.680023,-73.794624,"(40.680023, -73.794624)",Passing Too Closely,Unspecified,4456370,Sedan
7/06/2021,18:00,BROOKLYN,11222,40.72937,-73.955444,"(40.72937, -73.955444)",Obstruction/Debris,,4456567,Sedan
7/05/2021,17:20,BROOKLYN,11208,40.683754,-73.88565,"(40.683754, -73.88565)",Driver Inexperience,,4456628,E-Bike
9/11/2021,9:10,,,40.70413,-73.76984,"(40.70413, -73.76984)",Turning Improperly,Unspecified,4456844,Station Wagon/Sport Utility Vehicle
9/11/2021,21:45,BROOKLYN,11223,40.609985,-73.96239,"(40.609985, -73.96239)",Unspecified,,4455985,Sedan
7/09/2021,6:51,BROOKLYN,11208,40.673676,-73.86576,"(40.673676, -73.86576)",View Obstructed/Limited,,4456655,Sedan
9/11/2021,21:00,MANHATTAN,10168,40.751442,-73.97606,"(40.751442, -73.97606)",Unspecified,Unspecified,4456058,Station Wagon/Sport Utility Vehicle
7/08/2021,14:30,BRONX,10464,40.86514,-73.801544,"(40.86514, -73.801544)",Unspecified,Unspecified,4456600,Sedan
9/11/2021,18:38,QUEENS,11375,40.72218,-73.84406,"(40.72218, -73.84406)",Passing or Lane Usage Improper,Unspecified,4455907,Sedan
9/11/2021,15:28,MANHATTAN,10035,40.797924,-73.9296,"(40.797924, -73.9296)",Unspecified,,4456549,Station Wagon/Sport Utility Vehicle
9/05/2021,16:40,,,40.626373,-73.99754,"(40.626373, -73.99754)",Driver Inattention/Distraction,Driver Inattention/Distraction,4456897,Sedan
9/11/2021,5:26,,,40.883133,-73.882095,"(40.883133, -73.882095)",Lost Consciousness,Unspecified,4456407,Sedan
9/11/2021,12:30,BRONX,10470,40.90222,-73.85589,"(40.90222, -73.85589)",Aggressive Driving/Road Rage,Unspecified,4456480,Sedan
9/10/2021,12:10,QUEENS,11366,40.72717,-73.78739,"(40.72717, -73.78739)",Backing Unsafely,Unspecified,4456829,Motorcycle
06/26/2021,10:30,QUEENS,11691,40.600792,-73.76711,"(40.600792, -73.76711)",Unspecified,Unspecified,4456660,Station Wagon/Sport Utility Vehicle
7/01/2021,21:00,,,40.84434,-73.91475,"(40.84434, -73.91475)",Unsafe Lane Changing,Unspecified,4456715,Sedan
04/16/2021,17:55,BROOKLYN,11233,40.67922,-73.90405,"(40.67922, -73.90405)",Unspecified,,4408080,Sedan
9/11/2021,13:10,MANHATTAN,10035,40.802982,-73.93815,"(40.802982, -73.93815)",Driver Inattention/Distraction,Unspecified,4456543,Taxi
7/04/2021,0:58,BROOKLYN,11222,40.731544,-73.955315,"(40.731544, -73.955315)",Driver Inattention/Distraction,,4456592,Sedan
9/11/2021,2:38,QUEENS,11420,40.683323,-73.80648,"(40.683323, -73.80648)",Unsafe Speed,,4456140,Station Wagon/Sport Utility Vehicle
7/04/2021,21:00,BROOKLYN,11222,40.732006,-73.95795,"(40.732006, -73.95795)",Alcohol Involvement,Unspecified,4456577,Sedan
9/11/2021,18:00,BROOKLYN,11212,40.6544,-73.92044,"(40.6544, -73.92044)",Failure to Yield Right-of-Way,Unspecified,4456200,Sedan
7/02/2021,16:45,QUEENS,11692,40.589592,-73.786385,"(40.589592, -73.786385)",Unsafe Speed,Unspecified,4456687,Sedan
9/11/2021,15:10,,,40.736164,-73.97891,"(40.736164, -73.97891)",Traffic Control Disregarded,Other Vehicular,4456076,Bike
7/03/2021,10:18,QUEENS,11691,40.59723,-73.76237,"(40.59723, -73.76237)",Failure to Yield Right-of-Way,Unspecified,4456692,Station Wagon/Sport Utility Vehicle
9/11/2021,14:40,BROOKLYN,11231,40.67393,-73.999954,"(40.67393, -73.999954)",Driver Inattention/Distraction,Driver Inattention/Distraction,4456921,Sedan
9/11/2021,2:00,,,40.840153,-73.88572,"(40.840153, -73.88572)",Unsafe Speed,Unspecified,4456350,Station Wagon/Sport Utility Vehicle
9/11/2021,23:00,,,40.599503,-74.067116,"(40.599503, -74.067116)",Unspecified,,4456751,Sedan
7/04/2021,8:00,BRONX,10473,40.822456,-73.868065,"(40.822456, -73.868065)",Unspecified,,4456619,Sedan
9/11/2021,15:30,BROOKLYN,11223,40.59841,-73.97592,"(40.59841, -73.97592)",Driver Inattention/Distraction,Unspecified,4456001,Station Wagon/Sport Utility Vehicle
9/11/2021,14:30,QUEENS,11421,40.697083,-73.85476,"(40.697083, -73.85476)",Passing Too Closely,Unspecified,4456560,Station Wagon/Sport Utility Vehicle
7/08/2021,6:00,BRONX,10470,40.896385,-73.87246,"(40.896385, -73.87246)",Turning Improperly,Unspecified,4456632,Sedan
8/11/2021,0:01,,,40.695637,-73.80372,"(40.695637, -73.80372)",Unsafe Speed,,4456853,Sedan
9/11/2021,9:30,,,40.69982,-73.996254,"(40.69982, -73.996254)",Passing Too Closely,Unspecified,4456250,Station Wagon/Sport Utility Vehicle
9/11/2021,16:40,,,40.590313,-74.09794,"(40.590313, -74.09794)",Passing or Lane Usage Improper,Unspecified,4456750,Station Wagon/Sport Utility Vehicle
9/11/2021,18:05,,,40.787544,-73.82394,"(40.787544, -73.82394)",Failure to Yield Right-of-Way,Unspecified,4456089,Sedan
9/11/2021,2:00,BROOKLYN,11208,40.67539,-73.88113,"(40.67539, -73.88113)",Driver Inattention/Distraction,Unspecified,4456279,Station Wagon/Sport Utility Vehicle
9/07/2021,8:03,STATEN ISLAND,10301,40.634007,-74.07516,"(40.634007, -74.07516)",Driver Inattention/Distraction,Unspecified,4456768,E-Bike
9/11/2021,13:53,QUEENS,11373,40.73844,-73.88628,"(40.73844, -73.88628)",Backing Unsafely,Unspecified,4456183,Sedan
7/08/2021,11:50,,,40.60855,-74.13216,"(40.60855, -74.13216)",Driver Inattention/Distraction,Unspecified,4456582,Station Wagon/Sport Utility Vehicle
9/11/2021,14:00,,,40.58573,-74.16865,"(40.58573, -74.16865)",Driver Inattention/Distraction,Unspecified,4456789,Station Wagon/Sport Utility Vehicle
9/11/2021,7:09,BROOKLYN,11229,40.599907,-73.94664,"(40.599907, -73.94664)",Unspecified,Unspecified,4455757,Sedan
7/08/2021,15:40,MANHATTAN,10035,40.806713,-73.93782,"(40.806713, -73.93782)",Driver Inexperience,Unspecified,4456604,Station Wagon/Sport Utility Vehicle
9/07/2021,3:00,QUEENS,11372,40.748318,-73.87742,"(40.748318, -73.87742)",Driver Inattention/Distraction,Unspecified,4457032,Sedan
7/05/2021,6:00,QUEENS,11434,40.68651,-73.76815,"(40.68651, -73.76815)",Other Vehicular,Unspecified,4456651,Sedan
9/11/2021,10:48,,,,,,Unspecified,Unspecified,4456045,Station Wagon/Sport Utility Vehicle
9/10/2021,19:15,,,40.624203,-74.177124,"(40.624203, -74.177124)",Passing or Lane Usage Improper,Unspecified,4456537,Sedan
7/06/2021,9:37,,,40.744526,-73.77161,"(40.744526, -73.77161)",Driver Inattention/Distraction,Unspecified,4456646,Box Truck
7/01/2021,15:30,,,40.576965,-74.16974,"(40.576965, -74.16974)",Driver Inattention/Distraction,,4456631,Sedan
7/07/2021,18:04,BRONX,10461,40.8502,-73.8302,"(40.8502, -73.8302)",Following Too Closely,Unspecified,4456572,Station Wagon/Sport Utility Vehicle
9/08/2021,17:40,MANHATTAN,10013,40.715477,-73.998085,"(40.715477, -73.998085)",Driver Inattention/Distraction,Unspecified,4456851,Box Truck
9/11/2021,7:33,BROOKLYN,11229,40.611477,-73.94883,"(40.611477, -73.94883)",Unspecified,Unspecified,4455822,Station Wagon/Sport Utility Vehicle
7/08/2021,11:50,,,40.681515,-73.90412,"(40.681515, -73.90412)",Passing or Lane Usage Improper,Unspecified,4456587,Station Wagon/Sport Utility Vehicle
9/11/2021,8:00,BROOKLYN,11204,40.61578,-73.99995,"(40.61578, -73.99995)",Driver Inattention/Distraction,Unspecified,4455993,Ambulance
9/08/2021,8:43,MANHATTAN,10031,40.82207,-73.94993,"(40.82207, -73.94993)",Driver Inattention/Distraction,,4456721,Sedan
9/11/2021,23:00,QUEENS,11368,40.74606,-73.85583,"(40.74606, -73.85583)",Unspecified,,4456186,Sedan
9/09/2021,12:00,QUEENS,,40.72013,-73.79038,"(40.72013, -73.79038)",Unspecified,,4456819,Motorcycle
7/07/2021,17:13,QUEENS,11433,40.688435,-73.78765,"(40.688435, -73.78765)",Driver Inattention/Distraction,Unspecified,4456609,Station Wagon/Sport Utility Vehicle
9/11/2021,18:03,BRONX,10457,40.84964,-73.89661,"(40.84964, -73.89661)",Failure to Yield Right-of-Way,Unspecified,4456078,Station Wagon/Sport Utility Vehicle
9/09/2021,17:00,QUEENS,11416,40.68329,-73.85491,"(40.68329, -73.85491)",Driver Inexperience,Unspecified,4456529,Sedan
9/08/2021,18:13,MANHATTAN,10027,40.812912,-73.95364,"(40.812912, -73.95364)",Driver Inexperience,,4456726,Taxi
9/11/2021,20:50,QUEENS,11434,40.6639,-73.7804,"(40.6639, -73.7804)",Passing or Lane Usage Improper,Unspecified,4456558,Station Wagon/Sport Utility Vehicle
7/05/2021,0:16,QUEENS,11691,40.59312,-73.772705,"(40.59312, -73.772705)",Driver Inexperience,,4456705,Sedan
9/11/2021,18:21,,,,,,Unspecified,Unspecified,4456123,Sedan
06/29/2021,16:26,,,40.596687,-73.74422,"(40.596687, -73.74422)",Following Too Closely,Unspecified,4456673,Station Wagon/Sport Utility Vehicle
7/09/2021,3:52,,,,,,Pavement Slippery,,4456641,Sedan
7/08/2021,8:50,,,40.673107,-73.99959,"(40.673107, -73.99959)",Unsafe Lane Changing,Unspecified,4456599,Tow Truck / Wrecker
7/09/2021,10:38,BROOKLYN,11236,40.63874,-73.8952,"(40.63874, -73.8952)",Tinted Windows,,4456688,Sedan
9/11/2021,17:45,QUEENS,11422,40.675255,-73.73207,"(40.675255, -73.73207)",Driver Inattention/Distraction,Unspecified,4455904,Sedan
9/11/2021,1:30,BRONX,10453,40.846313,-73.92385,"(40.846313, -73.92385)",Passing Too Closely,Unspecified,4455927,Dump
9/11/2021,2:00,BROOKLYN,11229,40.608364,-73.95727,"(40.608364, -73.95727)",Driver Inattention/Distraction,,4456395,
9/11/2021,17:08,,,,,,Following Too Closely,Unspecified,4456745,Sedan
7/08/2021,23:25,BROOKLYN,11208,40.682724,-73.88539,"(40.682724, -73.88539)",Driver Inattention/Distraction,Unspecified,4456636,Station Wagon/Sport Utility Vehicle
9/11/2021,1:20,BRONX,10473,40.80789,-73.852844,"(40.80789, -73.852844)",Aggressive Driving/Road Rage,Aggressive Driving/Road Rage,4456036,Sedan
9/10/2021,0:00,,,40.607754,-74.13205,"(40.607754, -74.13205)",Failure to Yield Right-of-Way,Unspecified,4456785,Station Wagon/Sport Utility Vehicle
9/08/2021,16:33,MANHATTAN,10001,,,,Unsafe Lane Changing,Unspecified,4456517,Station Wagon/Sport Utility Vehicle
9/10/2021,11:17,,,40.708324,-73.84314,"(40.708324, -73.84314)",Following Too Closely,Unspecified,4456764,Taxi
9/10/2021,17:08,MANHATTAN,10029,40.79194,-73.95281,"(40.79194, -73.95281)",Unspecified,Unspecified,4456791,Taxi
7/08/2021,17:55,MANHATTAN,10002,40.718792,-73.98902,"(40.718792, -73.98902)",Driver Inattention/Distraction,Unspecified,4456614,Motorcycle
9/11/2021,13:35,,,40.86463,-73.892136,"(40.86463, -73.892136)",Driver Inattention/Distraction,Unspecified,4455863,Sedan
9/11/2021,0:50,BROOKLYN,11207,40.67856,-73.889015,"(40.67856, -73.889015)",Fell Asleep,Unspecified,4456313,Sedan
9/11/2021,3:00,,,40.721474,-73.98383,"(40.721474, -73.98383)",Passing Too Closely,Unspecified,4456409,Tow Truck / Wrecker
9/11/2021,4:41,MANHATTAN,10029,40.79184,-73.93556,"(40.79184, -73.93556)",Unspecified,,4455916,Sedan
9/11/2021,21:05,,,40.78076,-73.825424,"(40.78076, -73.825424)",Passing or Lane Usage Improper,Unspecified,4456096,Sedan
9/11/2021,20:59,,,40.7359,-73.91338,"(40.7359, -73.91338)",Driver Inattention/Distraction,Unspecified,4456878,Sedan
7/04/2021,22:22,,,,,,,,4456568,
9/10/2021,21:03,MANHATTAN,10002,40.710697,-73.984634,"(40.710697, -73.984634)",Unspecified,Unspecified,4456953,Sedan
9/10/2021,14:35,,,40.760777,-73.95702,"(40.760777, -73.95702)",Following Too Closely,Unspecified,4456522,Sedan
